# format,name,description,state,packages,custom
p,wine,A compatibility layer for running Windows programs,off,wine-staging wine-gecko wine-mono wine-nine winetricks vkd3d lib32-vkd3d giflib lib32-giflib libpng lib32-libpng libldap lib32-libldap gnutls lib32-gnutls mpg123 lib32-mpg123 openal lib32-openal v4l-utils lib32-v4l-utils libpulse lib32-libpulse libgpg-error lib32-libgpg-error alsa-plugins lib32-alsa-plugins alsa-lib lib32-alsa-lib libjpeg-turbo lib32-libjpeg-turbo sqlite lib32-sqlite libxcomposite lib32-libxcomposite libxinerama lib32-libgcrypt libgcrypt lib32-libxinerama ncurses lib32-ncurses ocl-icd lib32-ocl-icd libxslt lib32-libxslt libva lib32-libva gtk3 lib32-gtk3 gst-plugins-base-libs lib32-gst-plugins-base-libs vulkan-icd-loader lib32-vulkan-icd-loader,
f,bottles,Run Windows Software (Flatpak),off,com.usebottles.bottles,
a,mangohud,An overlay layer for monitoring FPS and more,off,mangohud lib32-mangohud mangoapp, sudo -u $username curl --create-dirs --output /home/${username}/.config/MangoHud/MangoHud.conf https://raw.githubusercontent.com/richard96292/dotfiles/master/mangohud/.config/MangoHud/MangoHud.conf
p,gamemode,Allows to request a set of optimisations,off,gamemode lib32-gamemode, groupadd -f gamemode; usermod -aG gamemode $username; sudo -u $username printf '[general]\nreaper_freq=5\ndesiredgov=performance\nigpu_desiredgov=powersave\nigpu_power_threshold=0.3\nrenice=10\nioprio=0\ninhibit_screensaver=1\n' > /home/${username}/.config/gamemode.ini
p,gamescope,The micro-compositor,off,gamescope,
a,protonup-qt,Install and manage runners form Steam and Lutris,off,protonup-qt,
p,steam,Valve's digital software store,off,steam,
f,steam-flatpak,Valve's digital software store (Flatpak),off,com.valvesoftware.Steam com.valvesoftware.Steam.CompatibilityTool.Proton-GE org.freedesktop.Platform.VulkanLayer.MangoHud//22.08 com.valvesoftware.Steam.Utility.gamescope,flatpak override --env=MANGOHUD=1 com.valvesoftware.Steam; flatpak override --filesystem=xdg-config/MangoHud:ro com.valvesoftware.Steam
p,lutris,Open Gaming Platform,off,lutris innoextract,
f,lutris-flatpak,Open Gaming Platform (Flatpak),off,net.lutris.Lutris org.freedesktop.Platform.VulkanLayer.MangoHud//21.08,
